,-3671.9500000000003
Motor&Fuel7Brch-99,53.57
Food&Beverage13Brch-113,54.15
Motor&Fuel7Brch-86,55.06
Food&Beverage13Brch-53,55.199999999999996
Others9Brch-1219,55.370000000000005
Motor&Fuel7Brch-304,55.72
Others11Brch-41,58.1
BCARD37Brch-79,59.4
Food&Beverage13Brch-84,59.449999999999996
Food&Beverage14Brch-8,59.76
Motor&Fuel7Brch-333,60.0
Food&Beverage14Brch-13,60.74
Others9Brch-1773,61.7
Food&Beverage13Brch-160,63.599999999999994
Others11Brch-883,63.7
Motor&Fuel7Brch-410,64.0
Food&Beverage13Brch-153,65.1
Food&Beverage13Brch-154,65.80000000000001
Food&Beverage13Brch-65,65.9
Motor&Fuel7Brch-164,66.4
Motor&Fuel7Brch-74,67.47
Motor&Fuel7Brch-431,67.55
Motor&Fuel7Brch-383,67.74
Food&Beverage1Brch-234,67.96000000000001
Food&Beverage13Brch-142,69.30000000000001
Food&Beverage13Brch-81,69.5
Others9Brch-128,69.74
Food&Beverage2Brch-100,70.65
Food&Beverage13Brch-83,71.9
BCARD47Brch-3,72.75
BCARD59Brch-659,73.4
Motor&Fuel7Brch-380,73.82
Motor&Fuel7Brch-24,74.52
Motor&Fuel7Brch-456,74.84
Food&Beverage14Brch-10,74.85
Motor&Fuel7Brch-155,75.69
BCARD37Brch-20,76.62
Motor&Fuel7Brch-237,77.63000000000001
Motor&Fuel7Brch-91,77.92
Others11Brch-773,78.8
Motor&Fuel7Brch-54,80.0
Motor&Fuel7Brch-256,80.16999999999999
Motor&Fuel7Brch-169,80.22
Motor&Fuel7Brch-132,80.66
Motor&Fuel7Brch-310,80.85
Food&Beverage13Brch-12,81.8
BCARD41Brch-9,82.11
Clubs2Brch-3,83.51
Others11Brch-780,84.3
Food&Beverage1Brch-199,84.3
Food&Beverage13Brch-110,85.31
Others11Brch-768,87.3
Food&Beverage4Brch-11,87.30000000000001
Food&Beverage1Brch-230,88.15
Others11Brch-65,88.5
BCARD14Brch-1,88.6
BCARD3Brch-8,88.9
BCARD37Brch-30,89.6
Food&Beverage13Brch-168,90.9
Motor&Fuel7Brch-317,91.43
Food&Beverage13Brch-30,91.5
Others9Brch-911,92.17999999999999
Food&Beverage13Brch-159,93.0
Motor&Fuel7Brch-258,94.55
Food&Beverage13Brch-130,94.6
Motor&Fuel7Brch-275,95.45
Motor&Fuel7Brch-125,95.58
Motor&Fuel7Brch-353,95.74
Food&Beverage3Brch-31,96.9
Others14Brch-61,98.2
Motor&Fuel7Brch-62,98.94
Others11Brch-484,99.0
Food&Beverage13Brch-69,99.4
BCARD37Brch-65,99.69999999999999
BCARD37Brch-68,99.74
Motor&Fuel7Brch-457,100.72
Food&Beverage13Brch-124,101.3
Food&Beverage13Brch-68,101.5
Motor&Fuel7Brch-366,101.74
Food&Beverage13Brch-141,102.2
Motor&Fuel7Brch-53,102.53
Motor&Fuel7Brch-94,103.67999999999999
BCARD44Brch-18,103.86
Motor&Fuel7Brch-339,105.0
Others9Brch-570,105.12
Food&Beverage3Brch-34,105.88
Motor&Fuel7Brch-332,106.35
Motor&Fuel7Brch-3,106.67
Motor&Fuel7Brch-60,106.74000000000001
Motor&Fuel7Brch-447,107.01
Motor&Fuel7Brch-16,108.0
Others9Brch-1277,108.25999999999999
Motor&Fuel7Brch-231,108.4
Motor&Fuel7Brch-292,109.51
BCARD44Brch-7,109.85000000000001
Motor&Fuel7Brch-429,110.0
Motor&Fuel7Brch-365,111.25
Motor&Fuel7Brch-363,113.0
Others9Brch-973,114.30000000000001
Motor&Fuel7Brch-313,115.0
Food&Beverage13Brch-126,115.1
Motor&Fuel7Brch-337,116.75
Food&Beverage5Brch-14,116.81
Motor&Fuel7Brch-354,118.91
Motor&Fuel7Brch-22,120.22999999999998
Food&Beverage13Brch-102,121.09999999999997
Food&Beverage13Brch-147,124.1
Motor&Fuel7Brch-415,124.61999999999998
Motor&Fuel7Brch-204,125.3
Motor&Fuel7Brch-163,125.93999999999998
OnlinePortal5Brch-1,127.0
Motor&Fuel7Brch-340,127.14000000000001
Others11Brch-754,127.9
Food&Beverage13Brch-127,128.29999999999998
BCARD59Brch-650,130.0
Food&Beverage13Brch-1,130.1
Motor&Fuel7Brch-351,130.71
Motor&Fuel7Brch-405,134.09
Food&Beverage13Brch-139,135.1
Motor&Fuel7Brch-345,138.0
Others11Brch-728,138.55
Motor&Fuel7Brch-390,139.04
Motor&Fuel7Brch-272,139.07
BCARD37Brch-27,139.7
BCARD37Brch-87,139.8
Motor&Fuel7Brch-269,140.02999999999997
Others9Brch-1751,140.81
Motor&Fuel7Brch-391,143.36
Motor&Fuel7Brch-357,143.81
Food&Beverage1Brch-227,147.85
Food&Beverage13Brch-146,148.2
Food&Beverage5Brch-12,148.55
Motor&Fuel7Brch-49,148.58000000000004
BCARD44Brch-13,148.91
Others9Brch-1553,149.79000000000002
BCARD59Brch-636,150.0
